"fact","meta__relevant_articles__001","meta__relevant_articles__002","meta__relevant_articles__003","meta__relevant_articles__004","meta__accusation__001","meta__accusation__002","meta__accusation__003","meta__punish_of_money","meta__criminals__-","meta__term_of_imprisonment__death_penalty","meta__term_of_imprisonment__imprisonment","meta__term_of_imprisonment__life_imprisonment"
"三门县人民检察院指控，2014年4月6日，被告人郑某在三门县珠岙镇胡村村因叶某宅基地问题与村委会主任叶某甲发生纠纷，后被告人郑某将被害人叶某甲推倒在一个一米多深的坑里，致其腰1椎体压缩性骨折、左侧耻骨下支骨折。经三门县公安局法医鉴定，被害人叶某甲身体损伤程度为轻伤一级。2014年4月8日，被告人郑某主动到公安机关投案，并如实供述了犯罪事实。针对上述犯罪事实，公诉机关当庭出示了被告人供述、被害人陈述、证人证言、现场照片、鉴定意见、相关书证等证据予以证明。公诉机关认为，被告人郑某××他人身体致人轻伤，其行为构成××罪，且被告人郑某有自首情节，依法可从轻处罚。提请依法判处。附带民事诉讼原告人叶某甲要求被告人郑某赔偿医疗费107686.67元、误工费15616元、护理费6100元、住院伙食补助费1500元、营养费5000元、交通费10586元、住宿费2558元、住院用品等费用1175元、伤残赔偿金77492元、鉴定费1200元、后续治疗费用15000元、补偿经济损失200000元，共计人民币443913.67元。其当庭出具了门诊病历、医疗费发票、费用清单、出院记录、医疗证明书、证明、交通费发票、司法鉴定意见书、鉴定费发票等证据以证明上述事实。","234","","","","故意伤害","","","0","郑某","False","18","False"
"江苏省太仓市人民检察院指控，2014年11月24日22时许，沈某、徐某乙在太仓市浏河镇港湾大酒店ktv三楼电梯旁的吧台边，因误会与被害人杜某甲发生纠纷，双方发生扭打后被人拉开。后沈某通知高某，高某带被告人徐某甲等人赶至浏河镇港湾大酒店ktv777包厢内，在他人调停过程中，沈某、徐某乙再次与被害人杜某乙发生纠纷，双方再次发生殴斗，期间被告人徐某甲和刘某、陆某等人对杜某乙进行殴打。经鉴定，被害人杜某甲的伤情系轻伤二级。公诉机关认为，被告人徐某甲××他人身体，致一人轻伤，应当以××罪追究其刑事责任。在共同犯罪中，被告人徐某甲均系主犯。被告人徐某甲当庭对太仓市人民检察院指控其犯××罪的事实认罪。","234","","","","故意伤害","","","0","徐某甲","False","8","False"
"蚌埠市淮上区人民检察院指控：2017年6月4日16时许，在本市淮上区曹老集镇高吴村，被告人孙某与被害人高某1因琐事发生争吵、厮打。被告人孙某殴打高某1面部，致高某1左侧鼻骨骨折、左侧额突粉碎性骨折。经蚌埠市公安司法鉴定中心鉴定，伤者高某1的损伤程度为轻伤二级。公诉机关认为，被告人孙某××他人身体，致一人轻伤，其行为已触犯《中华人民共和国刑法》××之规定，应当以××罪追究被告人孙某刑事责任。","234","","","","故意伤害","","","0","孙某","False","10","False"
"公诉机关指控，2014年6月24日13时许，在同江市乐业镇农民李x家中，被告人李xx、李xx因家庭琐事与其妹夫何xx、孙x发生口角并厮打。在厮打过程中，李xx、李xx持菜刀将何xx、孙x二人砍伤。经同江市公安局司法鉴定中心鉴定，何xx左前臂损伤评定为轻伤二级；孙x面部、腹部、双上肢、左下肢裂创、划伤评定为轻微伤。当日，被告人李xx、李xx被公安机关抓捕归案。2014年7月15日，李xx、李xx与何xx、孙x达成和解协议：一次性赔偿人民币20000元；何xx、孙x对李xx、李xx表示谅解。","234","","","","故意伤害","","","0","李xx","False","18","False"
"深圳市罗湖区人民检察院指控，2007年7月，被告人唐某因被深圳市湘东兴塑胶模具有限公司的被害人龙某辞退心存怨恨，遂产生报复心理。2007年7月14日7时许，唐某纠集在逃犯罪嫌疑人李某（另案处理）、“祥某”（另案处理）到罗湖区翠山工业区A栋楼下伺机报复龙某。当龙某上班途经该处时，唐某等三人便持事先准备好的刀、铁锤等凶器对龙某进行攻击，将龙某打倒在地，唐某等三人丢弃凶器逃离现场。经鉴定，龙某所受损伤构成轻伤。2011年9月7日，唐某被江西省赣州市安远县公安机关抓获。为证明上述事实，公诉机关当庭宣读并提交了下列证据予以证实：1、书证、物证：抓获经过，身份材料，扣押物品清单，通话记录，入职表，委托书等；2、证人证言：王某某等五人的证言；3、被害人陈述：龙某的陈述；4、被告人供述和辩解：唐某的供述和辩解；5、鉴定结论：伤情鉴定；6、勘验、检查笔录：现场勘验检查笔录及照片；7、视听资料：现场监控录像。公诉机关认为，被告人唐某的上述行为应当以××罪追究其刑事责任，诉请依法惩处。","234","","","","故意伤害","","","0","唐某","False","11","False"
"天津市西青区人民检察院指控：2016年2月5日17时许，在天津市西青区××小区××楼旁边的草坪上，该小区物业维修工被告人张某×与业主被害人赵××因琐事发生口角，后互相厮打，致使被害人赵××肋部受伤。经鉴定，被害人赵××6根肋骨骨折，鉴定为轻伤一级；头部软组织挫伤，鉴定为轻微伤。2016年3月12日被告人张某×经公安机关电话通知后到案。现当事人双方已就民事赔偿达成协议并履行完毕。检察机关提供了相应的证据，指控被告人张某×犯××罪，请求依照《中华人民共和国刑法》××××、××××的规定进行处罚。","234","","","","故意伤害","","","0","张某×","False","0","False"
"经审理查明，2013年9月23日下午，被害人乐XX在本市骏安酒店碰到被告人裴XX，遂指责裴XX抢走其女友。裴XX被指责后就离开骏安酒店，乐XX又打电话叫裴XX回骏安酒店将事情说清楚。裴XX遂打电话让尹X甲、尹X乙、李XX（三人均在逃）携带打架的凶器赶到骏安酒店门口。当天晚上19时许，尹X甲等三人赶到后，裴XX打电话叫乐XX过来。随后，乐XX开车来到骏安酒店附近，见到裴XX等人手持柴刀、钢管等凶器在酒店门口等，即手持西瓜刀下车走过去，双方随即发生打斗。在打斗过程中，裴XX手持柴刀砍中乐XX的背部，将乐XX砍倒在地，后又用柴刀砍伤乐XX的右手臂，尹X甲、尹X乙、李XX也分别持钢管、柴刀与裴XX对乐XX进行围殴，砍伤乐XX的头部、足部等处。之后，尹X甲等人又手持钢管、柴刀对乐XX开来的白色起亚K5汽车进行打砸，将汽车的前后挡风玻璃、车门等多处砸毁。经鉴定，被害人乐XX的人体损伤程度构成轻伤甲级、伤残等级构成九级伤残。在诉讼过程中，被害人乐XX向本院提起了刑事附带民事诉讼。2014年9月15日，被告人家属与被害人达成赔偿协议，裴XX也取得被害人乐XX的谅解。以上事实，被告人裴XX在开庭审理过程中亦无异议，且有被害人乐XX的陈述、证人胡XX、汪XX的证言，到案经过、被告人的常住人口信息、在逃人员登记表、调解协议、谅解书、收条，鹰潭市月湖区公安司法鉴定中心法医学人体损伤程度鉴定书、贵溪公众司法鉴定中心司法鉴定意见书，辨认笔录及被告人的供述等证据证实，足以认定。","234","","","","故意伤害","","","0","裴XX","False","8","False"
"陇南市武都区人民检察院指控，2014年1月6日晚23时许，被告人刘某来到朋友李2某位于武都区城关镇中山街的出租房，看见房子里的王某、魏某，便质问王某与李2某的关系，双方为此发生了口角，于是刘某便回到家中，取来两把砍刀，并叫来自己的两个朋友又返回李2某的出租屋，进去后刘某便持刀将王某的头部及手部致伤，打架过程中王某持砖头砸伤刘某腿部。经鉴定，王某头部及左手部损伤均为轻伤二级。2014年2月20日双方达成刑事和解。认定上述事实的证据有：被告人供述与辩解、被害人陈述、证人证言、书证、鉴定意见等。公诉机关认为，被告人刘某××他人身体，致人轻伤，其行为已触犯《中华人民共和国刑法》××之规定，犯罪事实清楚，证据确实、充分，应当以××罪追究其刑事责任。","234","","","","故意伤害","","","0","刘某","False","12","False"
"经审理查明：2007年8月15日凌晨，被告人张2某与被害人叶某在嘉善县陶庄镇时速网吧上网时发生争吵打架。当晚8时许，两人又在网吧相遇时又相互进行打架，被告人张2某用随身携带的弹簧刀向被害人叶某身上捅了三刀，后即逃跑。致使被害人叶某腹部小肠破裂、结肠破裂、结肠系膜破裂、右手外伤。经嘉善县公安局法医鉴定，被害人叶某的损伤已构成重伤。上述事实，被告人张2某在庭审过程中对指控的事实亦无异议，且有被害人叶某的陈述笔录；证人雷某、张1某、代某的证言；监控录像带、法医学人体损伤鉴定书、被告人的户籍证明及抓获经过等证据予以证实，足以认定。","234","","","","故意伤害","","","0","张2某","False","36","False"
"广平县人民检察院指控：2012年5月23日20时许，受害人李某戊因其妻宋某与李某乙发生争执找到李某乙家，与李某乙之妻发生争吵，李某乙在其家西屋房顶上向下投掷一砖，后李某戊退至李某乙家街门外过道内，双方互相投掷砖块。在相互投掷的过程中李某戊被砖块砸伤，经邯郸市公安局法医损伤检验鉴定李某戊左肩胛骨骨折、左侧第三肋骨骨折构成轻伤。公诉机关提供了相应的证据，认为被告人李某乙的行为触犯了《中华人民共和国刑法》××之规定，应当以××罪追究其刑事责任。建议对其判处××至一年零六个月，提请依法判处。","234","","","","故意伤害","","","0","李某乙","False","6","False"
"常熟市人民检察院指控被告人陆某于2014年4月9日9时30分许，在常熟市梅李镇赵市圩港村中诚路附近一处池塘边，因琐事与被害人肖某发生口角，后将肖某推倒致其受伤。经法医学鉴定，被害人肖某之损伤已构成人体轻伤二级。案发后，被告人陆某主动至常熟市公安局赵市派出所投案，并如实供述了犯罪事实，且已对被害人作出经济赔偿。为证实上述指控，公诉机关提交了相应的证据。公诉机关据此认为，被告人陆某××他人身体，致1人轻伤，其行为触犯了《中华人民共和国刑法》××××的规定，应当以××罪追究其刑事责任。被告人陆某系自首，可以从轻处罚。","234","","","","故意伤害","","","0","陆某","False","5","False"
"经审理查明：被告人王2某及张4某、张2某、张10某等人因在杭州市萧山区进化镇城山村杜家弄自然村造房子一事与邻居俞某、张1某发生纠纷。2012年1月2日上午7时30分许，被告人王2某等人在建造房子时，俞某、张1某等人前来阻止，双方发生争执并相互扭打，后被告人王2某持自来水管殴打被害人俞某、张1某头部致伤。经鉴定，被害人俞某受钝性外力作用致伤头面部、右手等处，第一掌骨完全骨折行切开复位钢板内固定术，治疗后遗留右拇指活动轻微功能障碍；面部鼻背部3.2cm创伤疤痕伴鼻骨粉碎性骨折、双侧上颌骨额突骨折、左侧颧弓骨折、2＋缺失，予以行鼻骨复位术治疗；左颞顶部、右额部头皮血肿伴左颞顶部帽状筋膜下血肿及左颞、顶骨粉碎性、凹陷性骨折和硬膜外血肿，行左侧凹陷颅骨碎骨片清除术、硬膜外血肿清除术等开颅手术治疗，其损伤程度已构成重伤；张1某头皮钝器创口超过6.0cm、额骨骨折，其损伤程度已构成轻伤。上述事实，被告人王2某在开庭审理过程中亦无异议，且有被害人张1某、俞某的陈述，证人张4某、张2某、王1某、张9某、张10某、张8某、王4某、张3某、钟某、张6某、张5某、杜某、张7某的证言，法医学人体损伤程度鉴定书，司法鉴定意见书，扣押物品、文件清单，案发经过，情况说明，被告人王2某的户籍证明等证据证实，足以认定。本院审理期间，被告人王2某的家属赔偿被害人俞某、张1某的经济损失共260000元，被害人俞某、张1某对被告人王2某表示谅解。","234","","","","故意伤害","","","0","王2某","False","36","False"
"经审理查明：2017年8月22日12时许，被告人梅某在昆明市盘龙区同德广场悦中心工地45楼，因琐事与被害人张某发生打斗，被告人梅某持钢管将被害人击伤。经鉴定，被害人张某伤情为轻伤一级。2017年8月22日，民警在昆明市新华医院将被告人传唤到案。另查明：2017年10月10日，被告人梅某的家属与被害人张某达成赔偿协议，赔偿被害人张某经济损失医疗费人民币100000元，被害人对被告人梅某的行为表示谅解。上述事实，被告人梅某在开庭审理过程中亦无异议，且有到案经过，被害人陈述，指、辨认笔录，证人证言，被告人梅某的供述，和解协议及谅解书等证据证实，足以认定。被告人梅某的辩护人提出如下辩护意见：1、被告人梅某有自首情节；2、梅某家属与被害人达成赔偿协议，赔偿了被害人经济损失，取得了被害人的谅解；3、本案被害人存在过错。综上，请求对被告人梅某适用××。","234","","","","故意伤害","","","0","梅某","False","8","False"
"宿州市埇桥区人民检察院指控：2015年7月6日6时许，在宿州市埇桥区栏杆镇石河村，被告人张某某与被害人张某某因琐事发生争执，后被告人张某某用石块将张某某左手砸伤。经宿州市埇桥区公安司法鉴定中心鉴定：张某某的伤情属于轻伤二级。被告人张某某于2015年9月17日在上海被上海铁路公安处上海站派出所民警抓获归案。针对上述指控，公诉机关当庭出示了被害人陈述、证人证言、被告人供述、法医鉴定等相关证据予以证实，认为被告人张某某构成××罪，建议适用《中华人民共和国刑法》××××之规定，对被告人在××至八个月幅度内量刑，并可适用××。","234","","","","故意伤害","","","0","张某某","False","8","False"
"经审理查明，2015年1月18日20时许，被告人张XX与朋友任XX、遇X在勃利县元明街“XX歌厅”内唱歌时，被告人张XX酒后同歌厅内服务员柏XX，因其夜间不陪张XX出去玩一事发生口角，争吵后柏XX联系朋友王X及李X闯，欲殴打被告人张XX。三人来到“XX歌厅”后未找到被告人张XX，被在歌厅对面吃饭的被告人张XX发现，其见状找来朋友户XX及李X利。几人返回歌厅后，被告人张XX将对方放在微型车上的两根镐把拿出，并将其中一根镐把放到朋友户XX车上，当被告人张XX持另一根镐把回“XX歌厅”时，恰逢被害人李X闯从歌厅内走出，被告人张XX乘被害人李X闯不备之机，持镐把击打李X闯右胳膊及身体，致其受伤，后持镐把将对方微型车玻璃砸碎。经法医鉴定：被害人李X闯尺骨骨折，损伤程度为轻伤二级。2015年2月7日被告人张XX在扶余北站进站口，被扶余北车站公安派出所抓获。到案后，被告人张XX如实供述其犯罪事实。2015年2月10日，被告人张XX赔偿李X闯车辆修理费980.00元；同年5月14日，双方达成刑事和解协议，被告人张XX一次性赔偿被害人李X闯各项经济损失共计人民币19，000.00元，此款现已履行完毕。上述事实，被告人张XX在开庭审理中亦无异议，并有公诉机关出示，经过法庭质证、认证的被告人张XX供述；被害人李X闯陈述；证人季XX、王X、户XX、李X利、遇X、任XX、柏XX证言；勃利县公安局刑事技术大队鉴定书；现场勘查笔录、现场平面图及照片；被告人张XX户籍证明、现实表现证明等证据予以证实，足以认定。","234","","","","故意伤害","","","0","张XX","False","12","False"
"砚山县人民检察院指控：2014年8月24日16时许，被告人马1某、马4某与被害人王1某能因323国道修路堵车发生争执，后找王1某能商量赔偿之事未果，遂于2014年8月25日下午3时许将被害人堵至松山脚清真寺门口，将王1某能微型车砸坏后并将其砍伤，后驾车逃离现场。经鉴定：王1某能身体所受损伤程度为重伤二级；被砸车辆修复价格为17550元。砚山县人民检察院认为：被告人马1某、马4某目无国法，××他人身体致一人重伤，对被害人的微型车进行打砸，造成的经济损失达到教大，其行为已分别触犯了《中华人民共和国刑法》××、××的规定，犯罪事实清楚，证据确实充分，应当分别以××罪、××罪追究其刑事责任，数罪并罚。被告人马1某、马4某具有自首情节，可以对其从轻或者减轻处罚。建议对被告人马1某、马4某犯××罪在××至五年幅度内量刑。","275","275","234","","故意伤害","故意毁坏财物","","0","马4某","False","46","False"
"福建省龙岩市新罗区人民检察院指控：2017年7月30日9时许，被告人李某驾驶车号为闽Ｆ×××××货车到龙岩市新罗区紫金山体育公园工地卸货。因道路通行问题与被害人林某发生争执，双方在争抢板车过程中，被告人李某将被害人林某推倒在地上，致被害人林某左第五掌骨完全性骨折、左拇指近节指骨基底部内侧骨折。经鉴定，被害人林某的损伤程度属轻伤二级。案发后，被告人李某已赔偿被害人林某的医药费、误工费等费用并取得被害人谅解。2017年8月2日，龙岩市公安局红坊派出所书面传唤被告人李某到案。","234","","","","故意伤害","","","0","李某","False","5","False"
"石屏县人民检察院起诉指控：2015年5月19日11时许，被告人罗x1因自家田埂被损坏一事，在与被害人罗x2理论过程中，用拳头将罗x2打致轻伤二级，应当以××罪追究罗x1的刑事刑事责任。同时认定，本案系民间矛盾激化引发，罗x1具有自首、积极赔偿被害人经济损失并取得谅解等量刑情节，建议对其在××至一年零六个月量刑。公诉机关并就指控的事实提供了相应的证据进行质证。","234","","","","故意伤害","","","0","罗x1","False","6","False"
"公诉机关指控，2013年10月2日8时许，被告人陈某某在大田县吴山乡北坑自然村“新墘头”村道旁因一自留地因该地使用权问题××他人身体致一人轻伤。对指控的上述事实，公诉机关当庭宣读和出示了相关证据，认为被告人陈某某构成××罪。请求依据《中华人民共和国刑法》××××的规定予以惩处。","234","","","","故意伤害","","","0","陈某某","False","4","False"
"浙江省象山县人民检察院指控，2013年1月22日13时许，被告人蒋某在象山县定塘镇快乐联盟童装店内，因罗某认为在该店购买的台灯有质量问题与罗发生争执。在该店门口，罗某欲用拳殴打被告人蒋某，被告人蒋某避开后即用拳头对罗某进行殴打，造成罗某鼻骨粉碎性骨折，所受的伤已构成轻伤。案发后，被告人蒋某明知他人报案而在现场等待，抓捕时无拒捕行为，后如实供述自己的犯罪事实，并将人民币20000元暂扣于象山县公安局。为证明上述事实，公诉机关提交了相关的证据。公诉机关认为，被告人蒋某××他人身体，致一人轻伤，其行为触犯了《中华人民共和国刑法》××××，应当以××罪追究其刑事责任。被告人蒋某案发后自首，根据《中华人民共和国刑法》××××之规定，可以从轻处罚。","234","","","","故意伤害","","","0","蒋某","False","2","False"
"池州市贵池区人民检察院指控：2015年2月10日17时30分左右，池州市远景混凝土有限公司司机丁某驾驶皖R×××××混凝土搅拌车，途经池州市贵池区“清溪绿城”工地旁的“天堂湖”超市时，挂断该超市门前的照明电线，超市老板房某要求赔偿人民币1600元。丁某打电话通知公司相关人员，被害人王某（公司负责人）等人赶到现场，房某也打电话给其弟被告人房某，让其到超市来查看并帮忙接电线。在超市门口，王某与房某为赔偿的数额发生口角争执，房某捡了一块石头准备砸王某，被人拦下。房某跑到王某身边，用拳头殴打王某头、面部，致其鼻子受伤流血。经池州市贵池区公安司法鉴定中心鉴定，王某因外伤导致双侧鼻骨合并鼻中隔骨折，属轻伤二级。指控认为，被告人房某××他人身体，致一人轻伤，其行为已触犯刑法，应当以××罪追究其刑事责任。被告人房某系累犯、具有自首情节，分别适用《中华人民共和国刑法》××、××××之规定处罚。公诉机关提供了相关证据。","234","","","","故意伤害","","","0","房某","False","10","False"
"经审理查明：2016年4月16日9时许，在濂溪区某小区A24栋1单元201室，被告人赵某与老婆尹某（现离异）因家庭生活琐事发生争执。被告人赵某将尹某按倒在地并跪坐其身上，用拳脚对其进行殴打，造成尹某多处体表挫伤，胸骨体不完全性骨折。经濂溪区公安司法鉴定中心鉴定，被害人尹某的伤情为轻伤二级。2016年6月3日，濂溪区公安分局于在濂溪区家中传唤被告人赵某到案。被害人尹某于2016年6月7日出具谅解书，对被告人赵某予以谅解。上述事实，被告人赵某在开庭审理过程中亦无异议，并有其在公安机关所作的供述，被害人尹某的陈述，到案经过、申请书、办案说明、谅解书、常住人口信息，法医学人体损伤程度鉴定书，现场照片等证据证实，足以认定。","234","","","","故意伤害","","","0","赵某","False","3","False"
"公诉机关指控：2015年9月20日6时许，被告人聂某在汕头市金平区XX路XX号XX皮革厂上班时，因工作怠慢被同事姜某乙指责，遂对其怀恨在心。当日中午12时许，被告人聂某在XX皮革厂宿舍见被害人姜某乙路过时，从宿舍内操起一把菜刀朝被害人姜某乙背部砍了一刀，被告人聂某持刀继续追砍被害人姜某乙时，被同事阻止。经法医鉴定，被害人姜某乙体表损伤符合锐器所致，其伤情已构成轻伤二级。另外，在本案诉讼过程，被害人姜某乙表示放弃赔偿权利。","234","","","","故意伤害","","","0","聂某","False","12","False"
"德州市德城区人民检察院指控，“2013年10月18日11时40分许，在德州市运河经济开发区铁西南路中国石化加油站西侧，德州风驰物流公司经理姚某与门红军因运费发生纠纷，德州风驰物流公司调度员张某到达现场后殴打门红军，致门红军鼻骨骨折。经鉴定，门红军的伤情为轻伤。”就指控的上述事实，公诉机关提供了相应的证据，认为被告人张某之行为已触犯《中华人民共和国刑法》××之规定，构成××罪，提请本院依法判处。公诉人当庭称，被告人张某认罪态度较好。","234","","","","故意伤害","","","0","张某","False","6","False"
"经审理查明，2016年3月20日20时许，被告人刘某驾车回家途中，看到王某驾车带着被害人许某。被告人刘某因个人问题，跟随王某来到保定市乐凯北大街与纸厂路交叉口，将王某的汽车别停在史家驴肉火烧门脸前，被告人刘某下车后与王某发生争执，被害人许某见状下车，被告人刘某与被害人许某发生肢体冲突，过程中被告人刘某用随身携带的刀子扎了许某几下。经鉴定，许某伤情为直肌及腱膜断裂，腹腔内大网膜出血，近伤口处空肠系膜破裂出血，术中输血量600ml，并给与输入红细胞4个单位，血浆800ml；背部伤口直达胸腔。属重伤二级。2016年4月28日被告人刘某到公安机关投案。案发后，被告人刘某的亲属代为赔偿被害人许某经济损失人民币245000元，被害人许某对被告人刘某表示谅解。上述事实，有经庭审举证、质证，本院予以确认的下列证据证实：被害人许某的陈述，证人王某的证言，被告人刘某供述，司法鉴定意见书，辨认笔录，户籍证明，抓获、侦办经过、情况说明、调解协议、谅解书等。","234","","","","故意伤害","","","0","刘某","False","36","False"
